S.no.,Team,Project ,Location,Awarded ,Amount,Project date ,Allocated person,Organisation ,Status
119,Team A,4L Access Controlled Greenfield Highway section on NH163G (Warangal-Khammam) from Oorugonda village in Hanamkonda District at Design Ch. 112.240 Km to Venkatpur village in Warangal District at Design Ch. 150.240 Km(Package-I),Hyderabad/Telangana,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),13-06-2025,Rishabh,NHAI,Contacted
120,Team A,4L Access Controlled Greenfield Highway section on NH-163G (Warangal-Khammam) from Venkatpur village in Warangal District at Design Ch. 150.240 Km to Thallasenkesa village in Mahabubabed District at Design Ch. 189.650 km(Package-II),Hyderabad/Telangana,G R Infraprojects Limited,Big as greenfield project  (to be researched),19-04-2024,Rishabh,NHAI,Contacted
121,Team A,4L Access Controlled Greenfield Highway section on NH-163G (Khammam – Vijayawada) from Brahmanapalli(K) village at Design Ch. 250.400 Km to Remidicherla village at Design Ch. 280.200 Km(Package-II),Hyderabad/Telangana,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),26-03-2025,Rishabh,NHAI,Contacted
122,Team A,"6L Greenfield Kanpur - Lucknow
 (Expressway) Pkg II from km. 28.500 to km. 73.744",Uttar Pradesh,PNC Infratech Pvt. Ltd.,Big as greenfield project  (to be researched),10-11-2022,Rishabh,NHAI,Contacted
123,Team A,6L access control Greenfield highway of Vill- Karaunda Mahajan to Vill-Khyawari from Km. 56.500 to Km. 82.000 (Pkg-3),Uttar Pradesh,Shiv Build India Pvt. Ltd. - Jandu Construction India Pvt. Ltd. (JV),Big as greenfield project  (to be researched),02-09-2022,Rishabh,NHAI,Contacted
124,Team A,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with NH-19 & Varanasi Ring Road near Rewasa village to junction with Chandauli-Chainpur road near Khainti village (from Km. 0.000 to Km.
 27.000) - Pkg-1",Uttar Pradesh,NKC Projects Private Limited,Big as greenfield project  (to be researched),25-11-2024,Rishabh,NHAI,Contacted
125,Team A,"Construction Of Tunnel T1 From Chainage Km 33+160 To Km 34+400 And Tunnel 2 From Chainage Km 60+300 To Km 66+040 With Ballast Less Track And Works Related To Formation On Approaches Of Such Tunnels In Connection With Construction Of Electrified New Bg Railway Line Between Mangliyagaon (indore) To Budni Stations (198 Kms) Of Ratlam Division And Bhopal Division Of Western Railway And West Central Railway Respectively In Madhya Pradesh State, India""(pkg : Tunnel T1 & Part Tunnel T2)",Madhya Pradesh,SSNR Projects Private Limited,543.78 Cr,19 Sep 2025,Rishabh,NHAI,Contacted
126,Team A,Oriana Power Private Limited,Jharkhand,Oriana Power Private Limited,₹1205 Cr,11/6/2025,Rizwan,Bihar/Jharkhand 500 cr+,Contacted
127,Team A,Bengaluru Vijayawada Expressway Package-1 Limited,Andhra Pradesh,Bengaluru Vijayawada Expressway Package-1 Limited,Big as greenfield project  (to be researched),09-03-2024,Rizwan,NHAI,Contacted
128,Team A,Raj Path Infracon Pvt. Ltd.,Andhra Pradesh,Raj Path Infracon Pvt. Ltd.,Big as greenfield project  (to be researched),02-03-2024,Rizwan,NHAI,Contacted
129,Team A,Raj Path Infracon Pvt. Ltd.,Andhra Pradesh,Raj Path Infracon Pvt. Ltd.,Big as greenfield project  (to be researched),02-03-2024,Rizwan,NHAI,Contacted
130,Team A,AMR India Limited in JV with Rithwik Projects Private Limited,Andhra Pradesh,AMR India Limited in JV with Rithwik Projects Private Limited,Big as greenfield project  (to be researched),25-09-2023,Rizwan,NHAI,Contacted
131,Team A,GR Varanasi Kolkata Highway Private Limited,Bihar,GR Varanasi Kolkata Highway Private Limited,Big as greenfield project  (to be researched),01-07-2025,Rizwan,NHAI,Contacted
132,Team A,"H.S. Engineers & Associates-Velji Ratna
 Sorathia Infra Pvt. Ltd. JV",Bihar,"H.S. Engineers & Associates-Velji Ratna
 Sorathia Infra Pvt. Ltd. JV",Big as greenfield project  (to be researched),08-03-2024,Rizwan,NHAI,Contacted
133,Team A,"Atlas Construction Pvt.
 Ltd. - NKC (JV)",Gujarat,"Atlas Construction Pvt.
 Ltd. - NKC (JV)",Big as greenfield project  (to be researched),02-05-2022,Rizwan,NHAI,Contacted
134,Team A,GHV (India) Pvt Ltd.,Gujarat,GHV (India) Pvt Ltd.,Big as greenfield project  (to be researched),14-02-2022,Rizwan,NHAI,Contacted
135,Team A,GHV (India) Pvt Ltd.,Gujarat,GHV (India) Pvt Ltd.,Big as greenfield project  (to be researched),16-11-2021,Rizwan,NHAI,Contacted
136,Team A,Krishna Constructions.,Punjab,Krishna Constructions.,Big as greenfield project  (to be researched),27-06-2024,Rizwan,NHAI,Contacted
137,Team A,Krishna Constructions.,Punjab,Krishna Constructions.,Big as greenfield project  (to be researched),16-06-2024,Rizwan,NHAI,Contacted
138,Team A,Ram Kumar Contractor,Punjab,Ram Kumar Contractor,Big as greenfield project  (to be researched),14-09-2023,Rizwan,NHAI,Contacted
139,Team A,Dhaya Maju Infrastructure (Asia ) Sdn. Berhad - Crescent EPC Projects & Technical Services Ltd.,Rajasthan,Dhaya Maju Infrastructure (Asia ) Sdn. Berhad - Crescent EPC Projects & Technical Services Ltd.,Big as greenfield project  (to be researched),22-05-2021,Rizwan,NHAI,Contacted
140,Team A,Dhaya Maju Infrastructure (Asia ) Sdn. Berhad - Crescent EPC Projects & Technical Services Ltd.,Rajasthan,Dhaya Maju Infrastructure (Asia ) Sdn. Berhad - Crescent EPC Projects & Technical Services Ltd.,Big as greenfield project  (to be researched),24-05-2021,Rizwan,NHAI,Contacted
141,Team A,Raj Shyama Constructions Pvt. Ltd.,Uttar Pradesh,Raj Shyama Constructions Pvt. Ltd.,Big as greenfield project  (to be researched),17-05-2023,Rizwan,NHAI,Contacted
142,Team A,Joint Stock company Buer(JSC BUER) - oss Construction Private Ltd.(JV),Uttar Pradesh,Joint Stock company Buer(JSC BUER) - oss Construction Private Ltd.(JV),Big as greenfield project  (to be researched),28-12-2023,Rizwan,NHAI,Contacted
143,Team A,Krishna Constructions.,Uttar Pradesh,Krishna Constructions.,Big as greenfield project  (to be researched),02-09-2022,Rizwan,NHAI,Contacted
144,Team A,Krishna Constructions.,Uttar Pradesh,Krishna Constructions.,Big as greenfield project  (to be researched),02-09-2022,Rizwan,NHAI,Contacted
145,Team A,Raj Shyama Constructions Pvt. Ltd.,Uttar Pradesh,Raj Shyama Constructions Pvt. Ltd.,Big as greenfield project  (to be researched),02-09-2022,Rizwan,NHAI,Contacted
146,Team A,Hindustan Construction Co. Ltd.,Bihar,Hindustan Construction Co. Ltd.,1038.71,26 Sep 2025,Rizwan,Bridge Construction,Contacted
147,Team A,M/S JSP Projects Pvt Ltd,Bihar,M/S JSP Projects Pvt Ltd,107.27,2025,Rizwan,Bridge Construction,Contacted
148,Team A,V K Gupta And Associates ,Bihar,V K Gupta And Associates ,136.47,2025,Rizwan,Bridge Construction,Contacted
149,Team A,Mehrotra Buildcon Private Ltd.,Bihar,Mehrotra Buildcon Private Ltd.,88.66,21 Aug 2025,Rizwan,Bridge Construction,Contacted
150,Team A,Ramiya Construction Pvt Ltd.,Bihar,Ramiya Construction Pvt Ltd.,198.79,2025,Rizwan,Bridge Construction,Contacted
151,Team A,A K Infra Constructions Pvt Ltd,Bihar,A K Infra Constructions Pvt Ltd,53.68,21 Aug 2025,Rizwan,Bridge Construction,Contacted
152,Team A,M/S Puja Enterprises,Bihar,M/S Puja Enterprises,56.88,07 Feb 2025,Rizwan,Bridge Construction,Contacted
153,Team A,A M Infratech,Bihar,A M Infratech,67.03,15 Jan 2025,Rizwan,Bridge Construction,Contacted
154,Team A,Dineshchandra R. Agrawal Infracon ,Bihar,Dineshchandra R. Agrawal Infracon ,223.89,2025,Rizwan,Bridge Construction,Contacted
155,Team A,Royal Infrastructure Ltd,Bihar,Royal Infrastructure Ltd,106.22,01 Jul 2024,Rizwan,Bridge Construction,Contacted
155,Team B,"Remaining Work of Construction of Health Sub Center in Belahat, Roska, Karua, Rampur, Ramnagar at Block-K Nagar, Dist.-Purnea",,,"22,11,670.11",21.05.2025,Vikram,,
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Araria, Jokihat & Sikti, Dist.-Araria, Bihar",,,"56,85,296.00",09.06.2025,Vikram,,Pending at SNA Sparsh
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Bhargama & Narpatganj, Dist.-Araria, Bihar",,,,01.07.2025,Vikram,,Work not started
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Forbisganj, Dist.-Araria, Bihar",,,"57,56,167.00",01.07.2025,Vikram,,Accounts Section
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Raniganj & Bhargama, Dist.-Araria, Bihar",,,,,Vikram,,
155,Team B,"Construction of 08 Health & Wellness Centre (Pre-Fab) at Block-Sikti & Jokihat, Dist.-Araria, Bihar",,,,,Vikram,,
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Raxaul, Adapur, Sugauli & Ramgadhwa, Dist.-East Champaran",,,"14,02,406.00",08.08.2025,Vikram,,
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Mehsi, Pipra, Pakdidayal, Madhuban, Piprakothi & Motihari, Dist.-East Champaran",,,"43,26,212.00",03.06.2025,Vikram,,
155,Team B,"Construction of 06 Health & Wellness Centre (Pre-Fab) at Block-Manihari, Dist.-Katihar",,,,24.07.2025,Vikram,,Not Awarded
155,Team B,"Construction of 13 Health & Wellness Centre (Pre-Fab) at Block-Tehghachh & Bahadurganj, Dist.-Kishanganj",,,,14.08.2025,Vikram,,"No new sites as of now, work completed"
155,Team B,"Construction of 13 Health & Wellness Centre (Pre-Fab) at Block-Kishanganj & Pothiya, Dist.-Kishanganj",,,"40,98,052.00",11.08.2025,Vikram,,
155,Team B,"Construction of 14 Health & Wellness Centre (Pre-Fab) at Block-Kochadhaman, Dist.-Kishanganj",,,"59,20,540.00",01.07.2025,Vikram,,
155,Team B,"Construction of 14 Health & Wellness Centre (Pre-Fab) at Block-Araria, Bihar",,,"20,39,111.00",30.06.2025,Vikram,,Accounts Section
155,Team B,"Construction of 14 Health & Wellness Centre (Pre-Fab) at Block-Madhwapur, Benipatti & Harlakhi, Dist.-Madhubani",,,"58,41,481.00",30.06.2025,Vikram,,Accounts Section
155,Team B,"Construction of 09 Health & Wellness Centre (Pre-Fab) at Block-Bisfi & Pahika, Dist.-Madhubani",,,"72,97,114.68",30.06.2025,Vikram,,Accounts Section
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Rahika & Pandaula, Dist.-Madhubani",,,"1,33,70,064.00",01.08.2025,Vikram,,Pending at SNA Sparsh
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Rajnagar & Andhrathadhi, Dist.-Madhubani",,,"50,56,523.00",30.06.2025,Vikram,,Bill to be submitted Monday
155,Team B,"Construction of 06 Health & Wellness Centre (Pre-Fab) at Block-Jhanjharpur, Dist.-Madhubani",,,"45,87,823.00",11.08.2025,Vikram,,Pending at SNA Sparsh
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Jhanjharpur, Dist.-Madhubani",,,"50,94,009.00",21.07.2025,Vikram,,Pending at SNA Sparsh
155,Team B,"Construction of 05 Health & Wellness Centre (Pre-Fab) at Block-Madhepur & Ghoghardiha, Dist.-Madhubani",,,"27,62,145.00",11.08.2025,Piyush,,Pending at SNA Sparsh
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Aurai & Katra, Dist.-Muzaffarpur",,,"49,24,500.00",03.06.2025,Piyush,,
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Meenapur, Mushari & Bochahan, Dist.-Muzaffarpur",,,"49,73,700.00",03.06.2025,Piyush,,
155,Team B,"Construction of 05 Health & Wellness Centre (Pre-Fab) at Block-Nirmali, Kishanpur, Pipra, Triveniganj & Marauna, Dist.-Supaul",,,-,11.08.2025,Piyush,,
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Kurhani, Mushari, Saraiya, Sahebganj & Paroo, Dist.-Muzaffarpur",,,-,30.06.2025,Piyush,,fix appointment
155,Team B,"Construction of 08 Health & Wellness Centre (Pre-Fab) at Block-Baysi & Dagarua, Dist.-Purnea",,,"24,58,559.00",01.07.2025,Piyush,,not awarded
155,Team B,"Construction of 09 Health & Wellness Centre (Pre-Fab) at Block-Jalalgarh, Shreenagar & Kasba, Dist.-Purnea",,,"18,87,713.00",04.08.2025,Piyush,,
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Dighwara & Sonepur, Dist.-Saran",,,"9,79,565.00",30.06.2025,Piyush,,Accounts Section
155,Team B,"Construction of 09 Health & Wellness Centre (Pre-Fab) at Block-Siwan Sadar, Jiradei & Mairwa, Dist.-Siwan",,,"17,71,870.00",30.06.2025,Piyush,,Accounts Section
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Darauli, Guthni, Husainganj & Raghunathpur, Dist.-Siwan",,,"53,96,363.00",30.06.2025,Piyush,,Accounts Section
155,Team B,"Construction of 09 Health & Wellness Centre (Pre-Fab) at Block-Rupauli, Bhawanipur & B.Kothi, Dist.-Purnea",,,"46,68,768.00",07.07.2025,Piyush,,no response
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Yogapatti, Lauriya, Bairiya & Nautan, Dist.-West Champaran",,,Bill will be submitted Monday,14.08.2025,Piyush,,
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Barari, Sahmeli, Falka & Kodha, Dist.-Katihar",,,-,26.09.2025,Piyush,,
155,Team B,"Construction of 11 Health & Wellness Centre (Pre-Fab) at Block-Bettiah, Manjhauliya, Mainatand & Sikta, Dist.-West Champaran",,,Bill will be submitted Monday,14.08.2025,Piyush,,
155,Team B,"Construction of 08 Health & Wellness Centre (Pre-Fab) at Block-Katihar, Dandkhora & Aajamnagar, Dist.-Katihar",,,,,Piyush,,
155,Team B,"Construction of 08 Health & Wellness Centre (Pre-Fab) at Block-Amdabad, Hasanganj, Kadwa & Dankhora, Dist.-Katihar",,,,,Piyush,,
155,Team B,"Construction of 12 Health & Wellness Centre (Pre-Fab) at Block-Barsoi, Pranpur & Balrampur, Dist.-Katihar",,,?,29.08.2025,Piyush,,
155,Team B,"Construction of 09 Health & Wellness Centre (Pre-Fab) at Block-Bairganiya, Bathnaha, Mejarganj & Sonbarsa, Dist.-Sitamarhi",,,,,Piyush,,?
155,Team B,"Construction of 08 Health & Wellness Centre (Pre-Fab) at Block-Banmankhi, Dist.-Purnea",,,"25,36,144.00",30.06.2025,Piyush,,
155,Team B,"Construction of 09 Health & Wellness Centre (Pre-Fab) at Block-Patarghat, Banma-Ithari, Sadar Block, Mahishi & Navhatta, Dist.-Saharsa",,,,11.08.2025,Piyush,,2nd RA to be submitted
155,Team B,"Construction of 13 Health & Wellness Centre (Pre-Fab) at Block-Sonbarsa, Parihar, Sursand, Choraut & Pupri, Dist.-Sitamarhi",,,?,29.08.2025,Piyush,,
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Bajpatti, Runnisaidpur & Bokhara, Dist.-Sitamarhi",,,-,27.06.2025,Piyush,,
155,Team B,"Construction of 12 Health & Wellness Centre (Pre-Fab) at Block-Darauda, Siswan, Pachrukhi & Badhariya, Dist.-Siwan",,,"38,98,833.00",30.06.2025,Piyush,,Accounts Section
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Goraikothi, Lakri Nabiganj & Basantpur, Dist.-Siwan",,,"16,03,081.00",30.06.2025,Piyush,,Accounts Section
155,Team B,"Construction of 07 Health & Wellness Centre (Pre-Fab) at Block-Bhagwanpur & Maharajganj, Dist.-Siwan",,,"26,19,349.00",30.06.2025,Piyush,,Accounts Section
155,Team B,"Construction of 12 Health & Wellness Centre (Pre-Fab) at Block-Hajipur, Vaishali & Goraul, Dist.-Vaishali",,,"57,34,746.00",06.03.2025,Piyush,,
155,Team B,"Construction of 12 Health & Wellness Centre (Pre-Fab) at Block-Rajapakar, Desari & Sahdei Buzurg, Dist.-Vaishali",,,-,09.06.2025,Piyush,,
155,Team B,"Construction of 05 Health & Wellness Centre (Pre-Fab) at Block-Raghopur & Mahnar, Dist.-Vaishali",,,"59,27,838.00",06.03.2025,Piyush,,
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Patepur & Jandaha, Dist.-Vaishali",,,"49,24,470.00",10.06.2025,Piyush,,
155,Team B,"Construction of 12 Health & Wellness Centre (Pre-Fab) at Block-Thakraha, Bhitha, Piprasi, Bagaha-02, Gaunaha & Ramnagar, Dist.-West Champaran",,,"25,67,111.00",06.03.2025,Piyush,,Bill will be submitted Monday
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Darbhanga Sadar, Manigachi, Tardih, Singhwara & Keoti, Dist.-Darbhanga",,,"11,09,747.00",02.07.2025,Piyush,,Bill will be submitted Monday
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Kiratpur, Gourabauram, Biraul, Baheri & Benipur, Dist.-Darbhanga",,,"30,14,454.00",20.12.2024,Piyush,,Pending at SNA Sparsh
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Bahadurpur & Hanumannagar, Dist.-Darbhanga",,,"45,90,426.00",20.12.2024,Piyush,,Pending at SNA Sparsh
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Kanti, Sariya & Paru, Dist.-Muzaffarpur",,,,07.01.2025,Piyush,,
155,Team B,"Construction of 13 Health & Wellness Centre (Pre-Fab) at Block-Lalganj & Bhagwanpur, Dist.-Vaishali",,,,3rd RA,Piyush,,
155,Team B,"Construction of 10 Health & Wellness Centre (Pre-Fab) at Block-Patedhi Belsar, Goraul & Vaishali, Dist.-Vaishali",,,,3rd RA,Piyush,,
155,Team B,"Construction of 14 Health & Wellness Centre (Pre-Fab) at Block-Kochadhaman, Dist.-Kishanganj",,,"59,20,540.00",01.07.2025,Piyush,,Pending at Finance Section
155,Team B,"Construction of 14 Health & Wellness Centre (Pre-Fab) at Block-Kochadhaman, Dist.-Kishanganj",,,"40,98,052.00",11.08.2025,Piyush,,Pending at DGM (HQ)
156,Team D,Electric Cabling Service - SITC OF ROOF TOP SOLAR SYSTEM AT VARIOUS PROPERTIES OF ANKLAV NAGARPALIK,"Anand, Gujarat",SS ENTERPRISE,1.40 Cr,15 Dec 2025,Dakshiani,Municipality,Conatcted
,Team D,Electric Cabling Service - Providing Installation Solar System At Santrampur Nagarpalika Area; Prov,"Mahisagar, Gujarat",J K ENTERPRISE,1.80 Cr,29 Nov 2025,Dakshiani,Urban Development And Urban Housing Department,Conatcted
,Team D,"Engaging Associate For Balance Of System Pkg (bos) Pkg For Development Of Supply, Erection, Testing And Commissioning Including 03 Yrs Comprehensive Operation And Maintenance Of 600mw (2x300mw Blk) Ists Connected Solar Pv Projects At Ntpc Rel Khavda","Kachchh, Gujarat",M/S PHALOUDI CONSTRUCTIONS AND INFRASTRUCTURES PVT. LTD.,136.83 Cr,25 Nov 2025,Dakshiani,Bridge And Roof Company India Limited,Conatcted
,Team D,"Engaging Associate For Balance Of System Package For Development Of Design, Engineering, Supply, Erection, Testing And Commissioning Including 03yrs Comprehensive Operation And Maintenance Of 100 Mw(ac) Solar Power Project At Gsecls Re Park At Khavda","Vadodara, Gujarat",GHV (India) Pvt. Ltd.,119.54 Cr,24 Oct 2025,Dakshiani,Bridge And Roof Company India Limited,Conatcted
,Team D,Design Supply Installation And Commissioning Of Floating Solar Power Plant Of 10 Mw Ac Capacity At Hazira Plant Along With 7 Years Of O And M,"Surat, Gujarat",Purshotam Profiles Private Limited,25.88 Cr,09 Oct 2025,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,"Category: Custom Bid For Services - Operation And Maintenance Of
 solar At Ntpc Kawas","Surat, Gujarat",SHRI SAI ELECTRICAL,6.60 Cr,30 Aug 2025,Dakshiani,National Thermal Power Corporation Limited,Conatcted
,Team D,Solar Street Lighting System (NTPC),"Dahod, Gujarat",SIVANTA,1.66 Cr,13 Aug 2025,Dakshiani,General Administration Department,Conatcted
,Team D,"Solar Water Heating System as per IS 12976:1990,Solar Street Lighting System (NTPC)","Dahod, Gujarat",IDRISH AGENCY,1.73 Cr,23 Jun 2025,Dakshiani,Tribal Development Department,Conatcted
,Team D,Custom Bid for Services - BOS works for Addition of 20MWp DC at existing GSECL Raghanesda Phase 1 a,"Banaskantha, Gujarat",Sun Technologies,1.58 Cr,29 May 2025,Dakshiani,Bharat Heavy Electricals Limited,Conatcted
,Team D,Setting Up 300 Mw Solar Capacity Through Competitive Bidding (followed By E-reverse Auction) From Gujarat Urja Vikas Nigam Limited (guvnl) For Solar Pv Power Projects (for A Total Capacity Of 600 Mw) To Be Set Up In Gujarat,"Kachchh, Gujarat",NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,1217.00 Cr,26 May 2025,Dakshiani,Coal India Limited,Conatcted
,Team D,"Construction of Academic cum Administration Building, Hostel Building, 1 no. STP, UG sump, Pump room, Electrical Sub-Station along with all necessary infrastructure facilities including internal water supply, sanitary installation, internal Electrical installations, Firefighting and fire alarm system, VRV/VRF system, Lifts, networking, solar photovoltaic power generation, CCTV, DG set, solar water heating, UPS, IP based EPABX, signages, external services connection of Civil and Electrical, Internal cement concrete pavement roads, footpath, storm water drainage, etc. for IIIT Surat at Kholvad, District-Surat (Gujarat) in Engineering, Procurement and Construction (EPC) mode-I.","Surat, Gujarat",SHREE GANESH CORPORATION,98.90 Cr,30 Apr 2025,Dakshiani,Central Public Works Department,Conatcted
,Team D,"Design, Supply, Installation, Commissioning and Maintenance of Grid Connected Ground Mounted Solar","Porbandar, Gujarat",AVIRAT ENERGY PRIVATE LIMITED,1.98 Cr,11 Apr 2025,Dakshiani,Urban Development And Urban Housing Department,Conatcted
,Team D,High Mast Lighting Octagonal Tower with Solar Based LED Street Light,"Ahmedabad, Gujarat",Speedwell Wind Energy,1.50 Cr,05 Apr 2025,Dakshiani,Collector Office,Conatcted
,Team D,"Design, engineering, installation, testing and commissioning of 310 KWp Grid connected solar plant at Indian Oil LAB Terminal Dumad, Vadodara","Vadodara, Gujarat",MADHAV TECHNOLOGIES AND INTERGRATORS LLP,1.25 Cr,27 Mar 2025,Dakshiani,Indian Oil Corporation Limited,Conatcted
,Team D,CATEGORY: Renewables (Q2),"Junagadh, Gujarat",PEGASUS POWER & INFRA LLP,1.99 Cr,21 Mar 2025,Dakshiani,Women And Child Development Department,Conatcted
,Team D,"SUPPLY OF 770 KWP GRID CONNECTED ROOFTOP SOLAR PLANT,INSTALLATION, COMMISSIONING & TESTING OF 770 K","Vadodara, Gujarat",PHOTOVOLTAIC SOLAR,2.51 Cr,21 Mar 2025,Dakshiani,GAIL India Limited,Conatcted
,Team D,Solar Powered Drinking Water Cooler,"Anand, Gujarat",SHRIJI TECHNOASPIRE PRIVATE LIMITED,1.16 Cr,10 Mar 2025,Dakshiani,Panchayat Samiti,Conatcted
,Team D,"Balance work on risk and cost basis for 100 MW (AC) Solar Photovoltaic Grid Connected Power Plant of CIL at Bhadramali and Jabadia Village, Banaskata District at Gujarat and post commissioning Operation and Maintenance of the plant for 5 years.","Banaskantha, Gujarat",KOSOL ENERGIE PVT LTD,485.24 Cr,20 Feb 2025,Dakshiani,Coal India Limited,Conatcted
,Team D,High Mast Lighting Octagonal Tower with Solar Based LED Street Light,"Ahmedabad, Gujarat",Speedwell Wind Energy,1.50 Cr,07 Jan 2025,Dakshiani,Collector Office,Conatcted
,Team D,"Design, Supply, Installation, Commissioning and Maintenance of Grid Connected Ground Mounted Solar","Bharuch, Gujarat",SS ENTERPRISE,2.20 Cr,07 Jan 2025,Dakshiani,Urban Development And Urban Housing Department,Conatcted
,Team D,Setting up of Solar PV Car Parking facility with EV Charging Points at ONGC KDM Complex Mehsana along with Operation and Maintenance for Seven years.,"Mahesana, Gujarat",Imagine powertree Private Limited,8.41 Cr,01 Jan 2025,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,Electric Cabling Service - SITC OF SOLAR ROOF TOP WORK AND DEVLOMENT WORK FOR RANAVAV NAGARPALIKA;,"Porbandar, Gujarat",SAMARPAN CORPORATION,2.01 Cr,24 Dec 2024,Dakshiani,Urban Development And Urban Housing Department,Conatcted
,Team D,Electric Cabling Service - Providing Installation Solar System At Dahod Nagarpalika Area; Providing,"Dahod, Gujarat",SS ENTERPRISE,3.30 Cr,16 Dec 2024,Dakshiani,Urban Development And Urban Housing Department,Conatcted
,Team D,"Design & engineering, procurement & supply of equipment and materials (including PV modules), testing at manufacturers works, multi – level inspections, packing and forwarding, supply, receipt, unloading and storage at site, associated civil works, services, permits, licenses, installation and incidentals, insurance at all stages (Including Insurance of PV Modules ), erection, testing and commissioning of 300 MW (AC) Grid connected ground mounted Solar PV Power Plant along with DC Overloading and performance demonstration with associated equipment and materials on turnkey basis at Khavda Solar Park along with 5 (Five) years comprehensive operation and maintenance from the date of commissioning or Operational Acceptance, whichever is later.","Kachchh, Gujarat",KPI GREEN ENERGY LIMITED,1311.40 Cr,30 Nov 2024,Dakshiani,Coal India Limited,Conatcted
,Team D,Electric Cabling Service - Providing Installation Solar System At Dabhoi Nagarpalika Area; Providin,"Vadodara, Gujarat",SAMARPAN CORPORATION,1.55 Cr,28 Nov 2024,Dakshiani,Municipality,Conatcted
,Team D,"PL CP SOIL RESISTIVITY MEA,PL CP SW MODELLING SIMULAT,PL CP POLARIZATION COUPONS,DC INTERFERENCE SU","Devbhumi Dwarka, Gujarat",SARK EPC PROJECTS PRIVATE LIMITED,1.11 Cr,15 Nov 2024,Dakshiani,Bharat Petroleum Corporation Limited,Conatcted
,Team D,Electric Cabling Service - Providing Installation Solar System At Umreth Nagarpalika Area; Providin,"Anand, Gujarat",SAMARPAN CORPORATION,2.20 Cr,14 Nov 2024,Dakshiani,Municipality,Conatcted
,Team D,Electric Cabling Service - Providing Installation Solar System At Ode Nagarpalika Area; Providing,"Anand, Gujarat",SAMARPAN CORPORATION,1.40 Cr,14 Nov 2024,Dakshiani,Municipality,Conatcted
,Team D,Solar Street Lighting System (NTPC),"Dahod, Gujarat",SAI ELECTRICAL WORKS,1.48 Cr,24 Oct 2024,Dakshiani,Municipality,Conatcted
,Team D,Solar Street Lighting System (NTPC),"Dahod, Gujarat",SAI ELECTRICAL WORKS,1.16 Cr,15 Sep 2024,Dakshiani,Municipality,Conatcted
,Team D,"600KWp On Grid Solar PV System,Installation and Commissioning,Annual Service Contract for 1st year,","Vadodara, Gujarat",EMERAL ENERGY SOLUTIONS PRIVATE LIMITED,2.38 Cr,09 Sep 2024,Dakshiani,Indian Oil Corporation Limited,Conatcted
,Team D,"Construction of Girls Hostel and Extension of the Dining Hall including internal EI works, lifts, fire Fighting and Fire Alarm works, HVAC System , DG set , Passive networking system, CCTV, UPS, water Coolers, RO System Solar hot water System, heat pump system, External Development works etc. at National Forensic Science University ( NFSU) Gandhinagar Gujarat<br><b>Subwork/Packages:</b>one","Gandhinagar, Gujarat",M/s B L INFRA PROJECTS PRIVATE LIMITED,15.38 Cr,20 Aug 2024,Dakshiani,Central Public Works Department,Conatcted
,Team D,PWRJT24001 Design Supply Installation Testing and Commissioning of 755 kWp Grid Interactive Rooftop and Ground Mounted Solar Photovoltaic System Without Battery Backup at Different Locations of WRPL,"Rajkot, Gujarat",Grew Renewables Private Limited,3.95 Cr,09 Aug 2024,Dakshiani,Indian Oil Corporation Limited,Conatcted
