S.no.,Team,Project ,Location,Awarded ,Amount,Project date ,Allocated person,Organisation ,Status
43,Team A,"Construction of Guide Bunds for HL Bridge on Yamuna River (Bilaspur–Khojkipur, Panipat)",Haryana,Vijay Kansal Contractor,₹30.99 Cr,28 Oct 2025,Ritesh,Haryana Projects,Contacted
44,Team A,"Construction of ROB on Jind–Panipat & Delhi–Ambala Railway Sections, Panipat",Haryana,M/s Maan Builders,₹51.46 Cr,25 Aug 2025,Ritesh,Haryana Projects,Contacted
45,Team A,"Construction of residual, reconstruction, repair & maintenance works including structural works after 17.1 km of Bagodar Branch Canal and its distributaries/minors under Konar Irrigation Project on turnkey basis with 10 years OMM",Jharkhand,LCC Projects Pvt. Ltd.,₹607.2 Cr,2/27/2025,Ravi,Bihar/Jharkhand 500 cr+,Contacted
46,Team A,"Road Safety works with Restoration of Highway from the Junction of Green City Chowk to Ballaram Chowk and Installation of Safety Measures in Bathinda City Section
 of New NH-07",Punjab,Shivam Construction Co.,Big as greenfield project  (to be researched),27-07-2023,Ravi,NHAI,Contacted
47,Team A,"6L of Ambala-Chandigarh greenfield section from Km. 0.000 to Km. 25.000 with 4L spur to Lalru from Km. 0.000 to Km. 5.828 & spur to PR-7 road from Km. 0.000 to Km.
 11.157",Punjab,VRC Constructions (India) Pvt. Ltd.,Big as greenfield project  (to be researched),12-10-2023,Ravi,NHAI,Contacted
48,Team A,"4L Green Field Northern – East side Gorakhpur Bypass (26.616 Kms) starting from NH-29E (Chainage 83.308) and end at
 NH-28 (Chainage 285.100)",Uttar Pradesh,Vijai Construction (India) Pvt. Ltd.,Big as greenfield project  (to be researched),03-01-2024,Ravi,NHAI,Contacted
49,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Raj Construction (Prop - Dinesh Kumar Singh),,,Ravi,PWD,Contacted
50,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Shiva Enterprises Prop Shivdatt Kumar,,,Ravi,PWD,Contacted
51,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Harsh Construction Proprietor Awnik Kumar,,,Ravi,PWD,Contacted
52,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Rishabh Enterprises Proprietor Rohit Kumar,,,Ravi,PWD,Contacted
